task,alpha,release,start,finish,deadline,response,waiting,tardiness,miss,utility
Button,0.5,29500.0,29501.0,29502.0,29700.0,2.0,1.0,0.0,0,1.0
Ultra,0.5,29600.0,29600.0,29602.0,29800.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,29800.0,29800.0,29802.0,30000.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,30000.0,30000.0,30002.0,30200.0,2.0,0.0,0.0,0,1.0
PIR,0.5,30000.0,30002.0,30003.0,30200.0,3.0,2.0,0.0,0,1.0
Button,0.5,30000.0,30003.0,30004.0,30200.0,4.0,3.0,0.0,0,1.0
Sound,0.5,30000.0,30004.0,30008.0,32000.0,8.0,4.0,0.0,0,1.0
Ultra,0.5,30200.0,30200.0,30202.0,30400.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,30400.0,30400.0,30402.0,30600.0,2.0,0.0,0.0,0,1.0
PIR,0.5,30500.0,30500.0,30501.0,30700.0,1.0,0.0,0.0,0,1.0
Button,0.5,30500.0,30501.0,30502.0,30700.0,2.0,1.0,0.0,0,1.0
Ultra,0.5,30600.0,30600.0,30602.0,30800.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,30800.0,30800.0,30802.0,31000.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,31000.0,31000.0,31002.0,31200.0,2.0,0.0,0.0,0,1.0
PIR,0.5,31000.0,31002.0,31003.0,31200.0,3.0,2.0,0.0,0,1.0
Button,0.5,31000.0,31003.0,31004.0,31200.0,4.0,3.0,0.0,0,1.0
